family,scenario,metric,direction,mean,std,best,worst
ALL_HIDDEN_FAMILIES,oracle_hidden_family_generator_training,task3_rule_attribution_accuracy,higher_is_better,1.0,0.0,1.0,1.0
ALL_HIDDEN_FAMILIES,oracle_hidden_family_generator_training,exact_route_coverage,higher_is_better,0.0,0.0,0.0,0.0
THEFIFTHFAMILY,coupled_exact_route_memory,task1_top1,higher_is_better,1.0,0.0,1.0,1.0
THEFIFTHFAMILY,coupled_exact_route_memory,task1_top2,higher_is_better,1.0,0.0,1.0,1.0
THEFIFTHFAMILY,coupled_exact_route_memory,task1_top3,higher_is_better,1.0,0.0,1.0,1.0
THEFIFTHFAMILY,coupled_exact_route_memory,task1_top5,higher_is_better,1.0,0.0,1.0,1.0
THEFIFTHFAMILY,coupled_exact_route_memory,task1_mrr,higher_is_better,1.0,0.0,1.0,1.0
THEFIFTHFAMILY,coupled_exact_route_memory,task2_exact_match,higher_is_better,1.0,0.0,1.0,1.0
THEFIFTHFAMILY,coupled_exact_route_memory,task2_normalized_edit_distance,lower_is_better,0.0,0.0,0.0,0.0
THEFIFTHFAMILY,coupled_exact_route_memory,task2_token_accuracy,higher_is_better,1.0,0.0,1.0,1.0
THEFIFTHFAMILY,coupled_exact_route_memory,task2_block_accuracy,higher_is_better,1.0,0.0,1.0,1.0
THEFIFTHFAMILY,coupled_exact_route_memory,task3_accuracy,higher_is_better,1.0,0.0,1.0,1.0
THEFIFTHFAMILY,coupled_exact_route_memory,task3_rule_attribution_accuracy,higher_is_better,1.0,0.0,1.0,1.0
THEFIFTHFAMILY,coupled_exact_route_memory,exact_route_coverage,higher_is_better,1.0,0.0,1.0,1.0
THEFIFTHFAMILY,decoupled_known_fallback_only,task1_top1,higher_is_better,0.4,0.029832867780352598,0.45,0.355
THEFIFTHFAMILY,decoupled_known_fallback_only,task1_top2,higher_is_better,0.477,0.022158519806160338,0.51,0.43
THEFIFTHFAMILY,decoupled_known_fallback_only,task1_top3,higher_is_better,0.4825,0.02159282288168918,0.515,0.44
THEFIFTHFAMILY,decoupled_known_fallback_only,task1_top5,higher_is_better,0.494,0.02332380757938121,0.52,0.445
THEFIFTHFAMILY,decoupled_known_fallback_only,task1_mrr,higher_is_better,0.4426333333333333,0.024410471341436882,0.47650000000000003,0.3968333333333333
THEFIFTHFAMILY,decoupled_known_fallback_only,task2_exact_match,higher_is_better,0.0,0.0,0.0,0.0
THEFIFTHFAMILY,decoupled_known_fallback_only,task2_normalized_edit_distance,lower_is_better,0.5952088577991814,0.02636460633819554,0.5569489776669131,0.6473926093474126
THEFIFTHFAMILY,decoupled_known_fallback_only,task2_token_accuracy,higher_is_better,0.07626214049869329,0.006387611056060613,0.08544571312320312,0.06659595596229251
THEFIFTHFAMILY,decoupled_known_fallback_only,task2_block_accuracy,higher_is_better,0.242463506013215,0.015726473699751525,0.26588366733713203,0.21578986975348466
THEFIFTHFAMILY,decoupled_known_fallback_only,task3_accuracy,higher_is_better,1.0,0.0,1.0,1.0
THEFIFTHFAMILY,decoupled_known_fallback_only,task3_rule_attribution_accuracy,higher_is_better,1.0,0.0,1.0,1.0
THEFIFTHFAMILY,decoupled_known_fallback_only,exact_route_coverage,higher_is_better,0.0,0.0,0.0,0.0
THEFIFTHFAMILY,decoupled_visible_family_routes,task1_top1,higher_is_better,0.7475,0.033856314034460426,0.81,0.705
THEFIFTHFAMILY,decoupled_visible_family_routes,task1_top2,higher_is_better,0.9565,0.013973188612482111,0.98,0.93
THEFIFTHFAMILY,decoupled_visible_family_routes,task1_top3,higher_is_better,1.0,0.0,1.0,1.0
THEFIFTHFAMILY,decoupled_visible_family_routes,task1_top5,higher_is_better,1.0,0.0,1.0,1.0
THEFIFTHFAMILY,decoupled_visible_family_routes,task1_mrr,higher_is_better,0.8665,0.018954624179280816,0.9,0.8408333333333333
THEFIFTHFAMILY,decoupled_visible_family_routes,task2_exact_match,higher_is_better,0.0005,0.0015,0.005,0.0
THEFIFTHFAMILY,decoupled_visible_family_routes,task2_normalized_edit_distance,lower_is_better,0.15522952730464926,0.002795545379331261,0.15151992141088957,0.1611739729057528
THEFIFTHFAMILY,decoupled_visible_family_routes,task2_token_accuracy,higher_is_better,0.5134920121366805,0.023941779603440648,0.5620619814875542,0.4872843226584295
THEFIFTHFAMILY,decoupled_visible_family_routes,task2_block_accuracy,higher_is_better,0.7281068860734224,0.014764961896385606,0.7579480346898562,0.7126752596930597
THEFIFTHFAMILY,decoupled_visible_family_routes,task3_accuracy,higher_is_better,1.0,0.0,1.0,1.0
THEFIFTHFAMILY,decoupled_visible_family_routes,task3_rule_attribution_accuracy,higher_is_better,1.0,0.0,1.0,1.0
THEFIFTHFAMILY,decoupled_visible_family_routes,exact_route_coverage,higher_is_better,0.0,0.0,0.0,0.0
THEFIFTHFAMILY,oracle_hidden_family_generator_training,task1_top1,higher_is_better,0.7715,0.02793295544692684,0.835,0.725
THEFIFTHFAMILY,oracle_hidden_family_generator_training,task1_top2,higher_is_better,0.974,0.014106735979665897,0.99,0.95
THEFIFTHFAMILY,oracle_hidden_family_generator_training,task1_top3,higher_is_better,1.0,0.0,1.0,1.0
THEFIFTHFAMILY,oracle_hidden_family_generator_training,task1_top5,higher_is_better,1.0,0.0,1.0,1.0
THEFIFTHFAMILY,oracle_hidden_family_generator_training,task1_mrr,higher_is_better,0.8814166666666667,0.014620429010273411,0.9141666666666667,0.8608333333333333
THEFIFTHFAMILY,oracle_hidden_family_generator_training,task2_exact_match,higher_is_better,0.0015,0.0032015621187164245,0.01,0.0
THEFIFTHFAMILY,oracle_hidden_family_generator_training,task2_normalized_edit_distance,lower_is_better,0.15360111713547672,0.0030717609295786595,0.14705970174763464,0.15823877536366193
THEFIFTHFAMILY,oracle_hidden_family_generator_training,task2_token_accuracy,higher_is_better,0.5620590522070034,0.022474816580988564,0.5945441751561237,0.5127042493036454
THEFIFTHFAMILY,oracle_hidden_family_generator_training,task2_block_accuracy,higher_is_better,0.7623195803193313,0.014130249895723328,0.7803856519885384,0.7328358425664616
THEFIFTHFAMILY,oracle_hidden_family_generator_training,task3_accuracy,higher_is_better,1.0,0.0,1.0,1.0
THEFIFTHFAMILY,oracle_hidden_family_generator_training,task3_rule_attribution_accuracy,higher_is_better,1.0,0.0,1.0,1.0
THEFIFTHFAMILY,oracle_hidden_family_generator_training,exact_route_coverage,higher_is_better,0.0,0.0,0.0,0.0
