seed,family,scenario,task1_top1,task1_top2,task1_top3,task1_top5,task1_mrr,task2_exact_match,task2_normalized_edit_distance,task2_token_accuracy,task2_block_accuracy,task3_accuracy,task3_rule_attribution_accuracy,exact_route_coverage,fit_valid_full_routes,fallback_training_sequences,valid_rows,anomaly_rows
3,THEFOURTHFAMILY,decoupled_visible_family_routes,0.775,0.955,1.0,1.0,0.8800000000000001,0.005,0.15689456579301284,0.5369725450268102,0.7436225445103394,1.0,1.0,0.0,160,7169,200,200
3,THEFOURTHFAMILY,oracle_hidden_family_generator_training,0.785,0.985,1.0,1.0,0.89,0.005,0.1502226155829493,0.6009061674141188,0.7900285952994103,1.0,1.0,0.0,0,8209,200,200
3,THEFIFTHFAMILY,coupled_exact_route_memory,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100,7009,200,200
3,THEFIFTHFAMILY,decoupled_known_fallback_only,0.355,0.43,0.44,0.445,0.3968333333333333,0.0,0.5861179989664602,0.07030024396678264,0.2341589686325116,1.0,1.0,0.0,0,7009,200,200
3,THEFIFTHFAMILY,decoupled_visible_family_routes,0.755,0.95,1.0,1.0,0.8691666666666665,0.0,0.1611739729057528,0.5048485575676953,0.7203598989451301,1.0,1.0,0.0,160,7169,200,200
3,THEFIFTHFAMILY,oracle_hidden_family_generator_training,0.755,0.96,1.0,1.0,0.8708333333333332,0.0,0.1546988584549987,0.5410793952417547,0.7484203397484703,1.0,1.0,0.0,0,8209,200,200
4,THEFOURTHFAMILY,coupled_exact_route_memory,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100,7009,200,200
4,THEFOURTHFAMILY,decoupled_known_fallback_only,0.43,0.515,0.52,0.525,0.47516666666666674,0.0,0.602338716019772,0.07252036112169802,0.23689839950006547,1.0,1.0,0.0,0,7009,200,200
4,THEFOURTHFAMILY,decoupled_visible_family_routes,0.71,0.95,1.0,1.0,0.8466666666666667,0.0,0.15623674191950385,0.484369076228424,0.7051888310034161,1.0,1.0,0.0,160,7169,200,200
4,THEFOURTHFAMILY,oracle_hidden_family_generator_training,0.775,0.975,1.0,1.0,0.8833333333333334,0.0,0.15776317720243632,0.5589428343128003,0.7614305551921667,1.0,1.0,0.0,0,8209,200,200
4,THEFIFTHFAMILY,coupled_exact_route_memory,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100,7009,200,200
4,THEFIFTHFAMILY,decoupled_known_fallback_only,0.355,0.455,0.46,0.47,0.40866666666666673,0.0,0.5662325998797199,0.0746408057564516,0.2529040188946939,1.0,1.0,0.0,0,7009,200,200
4,THEFIFTHFAMILY,decoupled_visible_family_routes,0.73,0.95,1.0,1.0,0.8566666666666667,0.0,0.15646484134367258,0.5103227025203408,0.7282923979943379,1.0,1.0,0.0,160,7169,200,200
4,THEFIFTHFAMILY,oracle_hidden_family_generator_training,0.775,0.97,1.0,1.0,0.8825000000000002,0.0,0.15525648502321965,0.5691399601522272,0.7681045632953538,1.0,1.0,0.0,0,8209,200,200
5,THEFOURTHFAMILY,coupled_exact_route_memory,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100,7009,200,200
5,THEFOURTHFAMILY,decoupled_known_fallback_only,0.32,0.415,0.42,0.445,0.3741666666666667,0.0,0.6016559361175895,0.06457030185423664,0.2355233300617298,1.0,1.0,0.0,0,7009,200,200
5,THEFOURTHFAMILY,decoupled_visible_family_routes,0.805,0.98,1.0,1.0,0.8991666666666666,0.0,0.1534809719133871,0.48878800000517597,0.7124521550545264,1.0,1.0,0.0,160,7169,200,200
5,THEFOURTHFAMILY,oracle_hidden_family_generator_training,0.745,0.98,1.0,1.0,0.8691666666666668,0.0,0.15515038780690407,0.5688156288913964,0.764296141193716,1.0,1.0,0.0,0,8209,200,200
5,THEFIFTHFAMILY,coupled_exact_route_memory,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100,7009,200,200
5,THEFIFTHFAMILY,decoupled_known_fallback_only,0.45,0.495,0.495,0.515,0.47650000000000003,0.0,0.5804768790629139,0.08419682016005142,0.2559092712393573,1.0,1.0,0.0,0,7009,200,200
5,THEFIFTHFAMILY,decoupled_visible_family_routes,0.73,0.955,1.0,1.0,0.8575,0.005,0.15151992141088957,0.5620619814875542,0.7579480346898562,1.0,1.0,0.0,160,7169,200,200
5,THEFIFTHFAMILY,oracle_hidden_family_generator_training,0.77,0.99,1.0,1.0,0.8833333333333334,0.01,0.14705970174763464,0.5945441751561237,0.7803856519885384,1.0,1.0,0.0,0,8209,200,200
6,THEFOURTHFAMILY,coupled_exact_route_memory,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100,7009,200,200
6,THEFOURTHFAMILY,decoupled_known_fallback_only,0.405,0.51,0.53,0.55,0.4681666666666667,0.0,0.5826125904631504,0.08593912402683081,0.25059466544110215,1.0,1.0,0.0,0,7009,200,200
6,THEFOURTHFAMILY,decoupled_visible_family_routes,0.74,0.935,1.0,1.0,0.8591666666666665,0.0,0.1563396342579364,0.5391503524020759,0.7416849910736866,1.0,1.0,0.0,160,7169,200,200
6,THEFOURTHFAMILY,oracle_hidden_family_generator_training,0.745,0.98,1.0,1.0,0.8691666666666668,0.005,0.15267303861149004,0.5838448976562456,0.7768976576664841,1.0,1.0,0.0,0,8209,200,200
6,THEFIFTHFAMILY,coupled_exact_route_memory,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100,7009,200,200
6,THEFIFTHFAMILY,decoupled_known_fallback_only,0.39,0.495,0.505,0.515,0.4478333333333333,0.0,0.5883843659823338,0.08154143151015637,0.25250517575916526,1.0,1.0,0.0,0,7009,200,200
6,THEFIFTHFAMILY,decoupled_visible_family_routes,0.72,0.955,1.0,1.0,0.8525,0.0,0.15207639437298323,0.5158279923618024,0.7291854134285521,1.0,1.0,0.0,160,7169,200,200
6,THEFIFTHFAMILY,oracle_hidden_family_generator_training,0.78,0.985,1.0,1.0,0.8875000000000002,0.0,0.15335390470845284,0.5830195575486782,0.7787582062198759,1.0,1.0,0.0,0,8209,200,200
7,THEFOURTHFAMILY,coupled_exact_route_memory,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100,7009,200,200
7,THEFOURTHFAMILY,decoupled_known_fallback_only,0.4,0.48,0.48,0.495,0.44299999999999995,0.0,0.5899020512321523,0.08019275586467646,0.24334068979189133,1.0,1.0,0.0,0,7009,200,200
7,THEFOURTHFAMILY,decoupled_visible_family_routes,0.79,0.94,1.0,1.0,0.885,0.0,0.155150199523816,0.5388019215130775,0.7465597828818528,1.0,1.0,0.0,160,7169,200,200
