run_name,trial,strategy,eval_split,train_families,eval_families,top1,top5,mrr,completion_exact,completion_token_acc,completion_edit_dist,anomaly_f1,anomaly_auc,elapsed_s,result_path
xgboost_baseline_val100,baseline,all_family_val,val,"IC,IGBT,MOSFET","IC,IGBT,MOSFET",0.7433333333333333,1.0,0.8698611111111112,0.0033333333333333335,0.42789616100245476,0.25555457649799496,0.813753581661891,0.7508333703720166,242.4,solution\results\xgboost_baseline_val100.json
xgb_hybrid_robust_val100,hybrid_robust,all_family_val,val,"IC,IGBT,MOSFET","IC,IGBT,MOSFET",0.7433333333333333,1.0,0.8698611111111112,0.0033333333333333335,0.42789616100245476,0.25555457649799496,0.8212290502793297,0.8181696964309525,239.2,solution\results\xgb_hybrid_robust_val100.json
xgb_holdout_ic_legacy_eval100,baseline,holdout_ic,val,"IGBT,MOSFET",IC,0.56,0.95,0.7526666666666667,0.0,0.11422032623283944,0.8011239100733785,0.634920634920635,0.6418567426970788,46.0,solution\results\xgb_holdout_ic_legacy_eval100.json
xgb_holdout_ic_hybrid_taskbest_eval100,hybrid_taskbest,holdout_ic,val,"IGBT,MOSFET",IC,0.56,0.95,0.7526666666666667,0.0,0.149284479560753,0.7767700448980928,0.634920634920635,0.6418567426970788,77.6,solution\results\xgb_holdout_ic_hybrid_taskbest_eval100.json
xgb_holdout_igbt_legacy_eval100,baseline,holdout_igbt,val,"IC,MOSFET",IGBT,0.7,0.96,0.8275,0.0,0.1301018953367571,0.7844398163315214,0.6324786324786325,0.7102272727272727,58.6,solution\results\xgb_holdout_igbt_legacy_eval100.json
xgb_holdout_igbt_hybrid_robust_eval100,hybrid_robust,holdout_igbt,val,"IC,MOSFET",IGBT,0.7,0.96,0.8275,0.0,0.179894704502535,0.47253518882429335,0.6324786324786325,0.7102272727272727,92.0,solution\results\xgb_holdout_igbt_hybrid_robust_eval100.json
xgb_holdout_mosfet_legacy_eval100,baseline,holdout_mosfet,val,"IC,IGBT",MOSFET,0.62,1.0,0.8066666666666665,0.0,0.1268873250702452,0.796735364738933,0.7272727272727273,0.7727090836334534,50.6,solution\results\xgb_holdout_mosfet_legacy_eval100.json
xgb_holdout_mosfet_hybrid_taskbest_eval100,hybrid_taskbest,holdout_mosfet,val,"IC,IGBT",MOSFET,0.65,1.0,0.8233333333333335,0.0,0.1691393898170283,0.5882632081251534,0.7272727272727273,0.7727090836334534,81.4,solution\results\xgb_holdout_mosfet_hybrid_taskbest_eval100.json
