train_family_count,model,validation_family,task1_top1,task1_top3,task1_mrr,task2_exact_match,task2_normalized_edit_distance,task2_block_accuracy,task3_accuracy,family_specific_next_step_share,family_specific_task1_top1,family_specific_task1_top3
5,raw_exact_retrieval,SYNTHFAMILY104,0.71875,0.78125,0.75,0.0,0.22926633748187425,0.6715667456899284,1.0,0.0625,0.0,0.0
5,raw_exact_retrieval,SYNTHFAMILY105,0.71875,0.84375,0.78125,0.0,0.2118409190842994,0.6715705948560107,1.0,0.03125,0.0,0.0
5,raw_exact_retrieval,SYNTHFAMILY106,0.59375,0.78125,0.6875,0.0,0.2513794223931473,0.7033295365727316,1.0,0.0625,0.0,0.0
5,raw_exact_retrieval,SYNTHFAMILY107,0.71875,0.78125,0.75,0.0,0.23624120713772478,0.6156851227778745,1.0,0.03125,0.0,0.0
5,raw_exact_retrieval,SYNTHFAMILY108,0.65625,0.6875,0.671875,0.0,0.25719556100277463,0.6547926742305521,1.0,0.125,0.0,0.0
5,raw_exact_retrieval,SYNTHFAMILY109,0.71875,0.8125,0.765625,0.03125,0.21005647797055885,0.6370881423514543,1.0,0.03125,0.0,0.0
5,raw_exact_retrieval,SYNTHFAMILY110,0.3125,0.65625,0.484375,0.0,0.25391524348410077,0.641769875284922,1.0,0.125,0.0,0.0
5,template_adapted_retrieval,SYNTHFAMILY101,0.78125,1.0,0.8749999999999999,0.0,0.15019291370485885,0.7876287372559277,1.0,0.03125,1.0,1.0
5,template_adapted_retrieval,SYNTHFAMILY102,0.71875,1.0,0.8541666666666666,0.0,0.15676779223506598,0.741160607426908,1.0,0.0,nan,nan
5,template_adapted_retrieval,SYNTHFAMILY103,0.71875,1.0,0.8489583333333333,0.0,0.153448305545997,0.7298591140283386,1.0,0.0625,1.0,1.0
5,template_adapted_retrieval,SYNTHFAMILY104,0.84375,1.0,0.9166666666666666,0.0,0.1490215717172206,0.754088234682526,1.0,0.0625,1.0,1.0
5,template_adapted_retrieval,SYNTHFAMILY105,0.71875,1.0,0.8541666666666667,0.0,0.15591614047719562,0.727391637690566,1.0,0.03125,1.0,1.0
5,template_adapted_retrieval,SYNTHFAMILY106,0.71875,1.0,0.859375,0.0,0.16422231383303607,0.7554629027453754,1.0,0.0625,1.0,1.0
5,template_adapted_retrieval,SYNTHFAMILY107,0.78125,1.0,0.8802083333333333,0.0,0.15343661862810168,0.722168125235943,1.0,0.03125,1.0,1.0
5,template_adapted_retrieval,SYNTHFAMILY108,0.8125,1.0,0.8958333333333334,0.0,0.16662409672942863,0.7476364805420054,1.0,0.125,1.0,1.0
5,template_adapted_retrieval,SYNTHFAMILY109,0.71875,1.0,0.859375,0.03125,0.1553599832545216,0.7201083425510393,1.0,0.03125,1.0,1.0
5,template_adapted_retrieval,SYNTHFAMILY110,0.46875,1.0,0.7239583333333333,0.0,0.1529875472925711,0.7418230212661681,1.0,0.125,1.0,1.0
5,valid_lattice_template_retrieval,SYNTHFAMILY101,0.84375,1.0,0.9062499999999999,0.0,0.0973574190011835,0.9315982739645763,1.0,0.03125,1.0,1.0
5,valid_lattice_template_retrieval,SYNTHFAMILY102,0.84375,1.0,0.9166666666666666,0.0,0.11295642024283693,0.8865837012669333,1.0,0.0,nan,nan
5,valid_lattice_template_retrieval,SYNTHFAMILY103,0.9375,1.0,0.96875,0.0,0.10277821986727682,0.8629404133415581,1.0,0.0625,1.0,1.0
5,valid_lattice_template_retrieval,SYNTHFAMILY104,1.0,1.0,1.0,0.0,0.08786352803095444,0.9104313017768172,1.0,0.0625,1.0,1.0
