epoch,loss,perplexity
1,3.808,45.07
2,0.932,2.54
3,0.551,1.73
4,0.502,1.65
5,0.486,1.63
6,0.476,1.61
7,0.470,1.60
8,0.466,1.59
9,0.463,1.59
10,0.459,1.58
11,0.457,1.58
12,0.455,1.58
13,0.452,1.57
14,0.452,1.57
15,0.450,1.57
16,0.448,1.56
17,0.445,1.56
18,0.444,1.56
19,0.443,1.56
20,0.442,1.56
21,0.441,1.55
22,0.439,1.55
23,0.438,1.55
24,0.437,1.55
25,0.436,1.55
26,0.435,1.55
27,0.434,1.54
28,0.434,1.54
29,0.434,1.54
30,0.434,1.54
